K00001,alcohol dehydrogenase [EC:1.1.1.1]
K03793,pteridine reductase [EC:1.5.1.33]
K03794,sirohydrochlorin ferrochelatase [EC:4.99.1.4]
K03795,sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K03800,lipoate---protein ligase [EC:6.3.1.20]
K03801,lipoyl(octanoyl) transferase [EC:2.3.1.181]
K03809,NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K03816,xanthine phosphoribosyltransferase [EC:2.4.2.22]
K03821,poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC [EC:2.3.1.304]
K03823,phosphinothricin acetyltransferase [EC:2.3.1.183]
K03825,L-phenylalanine/L-methionine N-acetyltransferase [EC:2.3.1.53 2.3.1.-]
K03831,molybdopterin adenylyltransferase [EC:2.7.7.75]
K03841,"fructose-1,6-bisphosphatase I [EC:3.1.3.11]"
K03851,taurine-pyruvate aminotransferase [EC:2.6.1.77]
K03852,sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]
K03856,3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K03862,vanillate monooxygenase [EC:1.14.13.82]
K03863,vanillate monooxygenase ferredoxin subunit
K03865,glutamyl-tRNA(Gln) amidotransferase subunit F [EC:6.3.5.7]
K03878,NADH-ubiquinone oxidoreductase chain 1 [EC:7.1.1.2]
K03879,NADH-ubiquinone oxidoreductase chain 2 [EC:7.1.1.2]
K03880,NADH-ubiquinone oxidoreductase chain 3 [EC:7.1.1.2]
K03881,NADH-ubiquinone oxidoreductase chain 4 [EC:7.1.1.2]
K03882,NADH-ubiquinone oxidoreductase chain 4L [EC:7.1.1.2]
K03883,NADH-ubiquinone oxidoreductase chain 5 [EC:7.1.1.2]
K03884,NADH-ubiquinone oxidoreductase chain 6 [EC:7.1.1.2]
K03894,N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]
K03895,aerobactin synthase [EC:6.3.2.39]
K03896,acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]
K03897,lysine N6-hydroxylase [EC:1.14.13.59]
K03918,L-lysine 6-transaminase [EC:2.6.1.36]
K03921,acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.11 1.14.19.26]
K03922,acyl-[acyl-carrier protein] desaturase [EC:1.14.19.2 1.14.19.-]
K03927,carboxylesterase 2 [EC:3.1.1.1 3.1.1.84 3.1.1.56]
K03934,NADH dehydrogenase (ubiquinone) Fe-S protein 1 [EC:7.1.1.2]
K03935,NADH dehydrogenase (ubiquinone) Fe-S protein 2 [EC:7.1.1.2]
K03936,NADH dehydrogenase (ubiquinone) Fe-S protein 3 [EC:7.1.1.2]
K03940,NADH dehydrogenase (ubiquinone) Fe-S protein 7 [EC:7.1.1.2]
K03941,NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:7.1.1.2]
K03942,NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:7.1.1.2]
K03943,NADH dehydrogenase (ubiquinone) flavoprotein 2 [EC:7.1.1.2]
K04016,cytochrome c-type biogenesis protein NrfE
K04019,ethanolamine utilization protein EutA
K04020,phosphotransacetylase
K04021,aldehyde dehydrogenase
K04022,alcohol dehydrogenase
K04032,ethanolamine utilization cobalamin adenosyltransferase [EC:2.5.1.154]
K04034,anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]
K04035,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase [EC:1.14.13.81]
K04036,divinyl protochlorophyllide a 8-vinyl-reductase [EC:1.-.-.-]
K04037,light-independent protochlorophyllide reductase subunit L [EC:1.3.7.7]
K04038,light-independent protochlorophyllide reductase subunit N [EC:1.3.7.7]
K04039,light-independent protochlorophyllide reductase subunit B [EC:1.3.7.7]
K04040,chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]
K04041,"fructose-1,6-bisphosphatase III [EC:3.1.3.11]"
K04042,bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]
K04068,anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]
K04069,pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K04072,acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
K04073,acetaldehyde dehydrogenase [EC:1.2.1.10]
K04075,tRNA(Ile)-lysidine synthase [EC:6.3.4.19]
K04091,alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
K04092,chorismate mutase [EC:5.4.99.5]
K04093,chorismate mutase [EC:5.4.99.5]
K04097,prostaglandin-H2 D-isomerase / glutathione transferase [EC:5.3.99.2 2.5.1.18]
K04098,"hydroxyquinol 1,2-dioxygenase [EC:1.13.11.37]"
K04099,gallate dioxygenase [EC:1.13.11.57]
K04100,"protocatechuate 4,5-dioxygenase, alpha chain [EC:1.13.11.8]"
K04101,"protocatechuate 4,5-dioxygenase, beta chain [EC:1.13.11.8]"
K04102,"4,5-dihydroxyphthalate decarboxylase [EC:4.1.1.55]"
K04103,indolepyruvate decarboxylase [EC:4.1.1.74]
K04105,4-hydroxybenzoate-CoA ligase [EC:6.2.1.27 6.2.1.25]
K04107,4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]
K04108,4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]
K04109,4-hydroxybenzoyl-CoA reductase subunit beta [EC:1.1.7.1]
K04110,benzoate-CoA ligase [EC:6.2.1.25]
K04112,benzoyl-CoA reductase subunit C [EC:1.3.7.8]
K04113,benzoyl-CoA reductase subunit B [EC:1.3.7.8]
K04114,benzoyl-CoA reductase subunit A [EC:1.3.7.8]
K04115,benzoyl-CoA reductase subunit D [EC:1.3.7.8]
K04116,cyclohexanecarboxylate-CoA ligase [EC:6.2.1.-]
K04117,cyclohexanecarboxyl-CoA dehydrogenase [EC:1.3.99.-]
K04118,pimeloyl-CoA dehydrogenase [EC:1.3.1.62]
K04119,aldo-keto reductase family 1 member C3 [EC:1.1.1.51 1.1.1.188 1.1.1.213 1.1.1.357]
K04120,ent-copalyl diphosphate synthase [EC:5.5.1.13]
K04121,ent-kaurene synthase [EC:4.2.3.19]
K04122,ent-kaurene oxidase [EC:1.14.14.86]
K04123,ent-kaurenoic acid monooxygenase [EC:1.14.14.107]
K04124,gibberellin 3beta-dioxygenase [EC:1.14.11.15]
K04125,gibberellin 2beta-dioxygenase [EC:1.14.11.13]
K04126,isopenicillin-N synthase [EC:1.21.3.1]
K04127,isopenicillin-N epimerase [EC:5.1.1.17]
K04128,hydroxymethyl cephem carbamoyltransferase [EC:2.1.3.7]
K04283,trypanothione-disulfide reductase [EC:1.8.1.12]
K04339,scyllo-inosamine 4-kinase [EC:2.7.1.65]
K04340,scyllo-inosamine-4-phosphate amidinotransferase 1 [EC:2.1.4.2]
K04341,dTDP-dihydrostreptose-streptidine-6-phosphate dihydrostreptosyltransferase [EC:2.4.2.27]
K04342,streptomycin-6-phosphatase [EC:3.1.3.39]
K04343,streptomycin 6-kinase [EC:2.7.1.72]
K04462,[histone H3]-lysine9 N-methyltransferase (ecotropic virus integration site 1 protein) [EC:2.1.1.367]
K04480,methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]
K04486,histidinol-phosphatase (PHP family) [EC:3.1.3.15]
K04487,cysteine desulfurase [EC:2.8.1.7]
K04516,chorismate mutase [EC:5.4.99.5]
K04517,prephenate dehydrogenase [EC:1.3.1.12]
K04518,prephenate dehydratase [EC:4.2.1.51]
K04561,nitric oxide reductase subunit B [EC:1.7.2.5]
K04566,"lysyl-tRNA synthetase, class I [EC:6.1.1.6]"
K04567,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]"
K04618,galactose oxidase [EC:1.1.3.9]
K04628,ceramide galactosyltransferase [EC:2.4.1.47]
K04708,3-dehydrosphinganine reductase [EC:1.1.1.102]
K04709,very-long-chain ceramide synthase [EC:2.3.1.297]
K04710,sphingoid base N-stearoyltransferase [EC:2.3.1.299]
K04711,dihydroceramidase [EC:3.5.1.-]
K04712,sphingolipid 4-desaturase/C4-monooxygenase [EC:1.14.19.17 1.14.18.5]
K04713,sphinganine C4-monooxygenase [EC:1.14.18.5]
K04714,sphingomyelin synthase / phosphatidylethanolamine phospholipase C [EC:2.7.8.27 3.1.4.62]
K04715,ceramide kinase [EC:2.7.1.138]
K04716,sphingosine-1-phosphate phosphatase 1 [EC:3.1.3.-]
K04717,sphingosine-1-phosphate phosphotase 2 [EC:3.1.3.-]
K04718,sphingosine kinase [EC:2.7.1.91]
K04719,"5,6-dimethylbenzimidazole synthase [EC:1.13.11.79]"
K04720,threonine-phosphate decarboxylase [EC:4.1.1.81]
K04742,chondroitin 4-sulfotransferase 12 [EC:2.8.2.5]
K04743,chondroitin 6-sulfotransferase 7 [EC:2.8.2.17]
K04747,nitric oxide reductase NorF protein
K04748,nitric oxide reductase NorQ protein
K04755,"ferredoxin, 2Fe-2S"
K04765,nucleoside triphosphate diphosphatase [EC:3.6.1.9]
K04781,salicylate synthetase [EC:5.4.4.2 4.2.99.21]
K04782,isochorismate pyruvate lyase [EC:4.2.99.21]
K04835,methylaspartate ammonia-lyase [EC:4.3.1.2]
K05275,pyridoxine 4-dehydrogenase [EC:1.1.1.65]
K05277,anthocyanidin synthase [EC:1.14.20.4]
K05278,flavonol synthase [EC:1.14.20.6]
K05279,flavonol 3-O-methyltransferase [EC:2.1.1.76]
K05280,flavonoid 3'-monooxygenase [EC:1.14.14.82]
K05281,2'-hydroxyisoflavone reductase [EC:1.3.1.45]
K05282,gibberellin-44 dioxygenase [EC:1.14.11.12]
K05294,GPI inositol-deacylase [EC:3.-.-.-]
K05295,20alpha-hydroxysteroid dehydrogenase [EC:1.1.1.149]
K05296,3(or 17)beta-hydroxysteroid dehydrogenase [EC:1.1.1.51]
K05297,rubredoxin---NAD+ reductase [EC:1.18.1.1]
K05298,glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) [EC:1.2.1.13]
K05299,formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]
K05301,sulfite dehydrogenase (cytochrome) subunit A [EC:1.8.2.1]
K05304,sialic acid synthase [EC:2.5.1.56 2.5.1.57 2.5.1.132]
K05305,fucokinase [EC:2.7.1.52]
K05306,phosphonoacetaldehyde hydrolase [EC:3.11.1.1]
K05307,thiamine-triphosphatase [EC:3.6.1.28]
K05308,gluconate/galactonate dehydratase [EC:4.2.1.140]
K05309,microsomal prostaglandin-E synthase 2 [EC:5.3.99.3]
K05341,amylosucrase [EC:2.4.1.4]
K05342,"alpha,alpha-trehalose phosphorylase [EC:2.4.1.64]"
K05343,maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]
K05349,beta-glucosidase [EC:3.2.1.21]
K05350,beta-glucosidase [EC:3.2.1.21]
K05351,D-xylulose reductase [EC:1.1.1.9]
K05352,ribitol-5-phosphate 2-dehydrogenase (NADP+) [EC:1.1.1.405]
K05353,putrescine N-methyltransferase [EC:2.1.1.53]
K05354,tropinone reductase II [EC:1.1.1.236]
K05355,hexaprenyl diphosphate synthase [EC:2.5.1.82 2.5.1.83]
K05356,all-trans-nonaprenyl-diphosphate synthase [EC:2.5.1.84 2.5.1.85]
K05357,vitamin-K-epoxide reductase (warfarin-sensitive) [EC:1.17.4.4]
K05358,quinate dehydrogenase (quinone) [EC:1.1.5.8]
K05359,arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]
K05360,protein-disulfide reductase (glutathione) [EC:1.8.4.2]
K05361,phospholipid-hydroperoxide glutathione peroxidase [EC:1.11.1.12]
K05362,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase [EC:6.3.2.7]
K05363,serine/alanine adding enzyme [EC:2.3.2.10]
K05364,penicillin-binding protein A
K05365,penicillin-binding protein 1B [EC:2.4.99.28 3.4.16.4]
K05368,NAD(P)H-flavin reductase [EC:1.5.1.41]
K05369,"15,16-dihydrobiliverdin:ferredoxin oxidoreductase [EC:1.3.7.2]"
K05370,phycoerythrobilin:ferredoxin oxidoreductase [EC:1.3.7.3]
K05371,phycocyanobilin:ferredoxin oxidoreductase [EC:1.3.7.5]
K05375,MbtH protein
K05394,atrazine chlorohydrolase [EC:3.8.1.8]
K05396,D-cysteine desulfhydrase [EC:4.4.1.15]
K05523,D-lactate dehydratase / protein deglycase [EC:4.2.1.130 3.5.1.124]
K05525,linalool 8-monooxygenase [EC:1.14.14.84]
K05526,succinylglutamate desuccinylase [EC:3.5.1.96]
K05549,"benzoate/toluate 1,2-dioxygenase subunit alpha [EC:1.14.12.10 1.14.12.-]"
K05550,"benzoate/toluate 1,2-dioxygenase subunit beta [EC:1.14.12.10 1.14.12.-]"
K05551,minimal PKS ketosynthase (KS/KS alpha) [EC:2.3.1.- 2.3.1.260 2.3.1.235]
K05552,minimal PKS chain-length factor (CLF/KS beta) [EC:2.3.1.- 2.3.1.260 2.3.1.235]
K05553,minimal PKS acyl carrier protein
K05554,aromatase [EC:4.2.1.-]
K05555,cyclase [EC:4.-.-.-]
K05556,ketoreductase RED1 [EC:1.1.1.-]
K05572,NAD(P)H-quinone oxidoreductase subunit 1 [EC:7.1.1.2]
K05573,NAD(P)H-quinone oxidoreductase subunit 2 [EC:7.1.1.2]
K05574,NAD(P)H-quinone oxidoreductase subunit 3 [EC:7.1.1.2]
K05575,NAD(P)H-quinone oxidoreductase subunit 4 [EC:7.1.1.2]
K05576,NAD(P)H-quinone oxidoreductase subunit 4L [EC:7.1.1.2]
K05577,NAD(P)H-quinone oxidoreductase subunit 5 [EC:7.1.1.2]
K05578,NAD(P)H-quinone oxidoreductase subunit 6 [EC:7.1.1.2]
K05579,NAD(P)H-quinone oxidoreductase subunit H [EC:7.1.1.2]
K05580,NAD(P)H-quinone oxidoreductase subunit I [EC:7.1.1.2]
K05581,NAD(P)H-quinone oxidoreductase subunit J [EC:7.1.1.2]
K05582,NAD(P)H-quinone oxidoreductase subunit K [EC:7.1.1.2]
K05583,NAD(P)H-quinone oxidoreductase subunit L [EC:7.1.1.2]
K05584,NAD(P)H-quinone oxidoreductase subunit M [EC:7.1.1.2]
K05585,NAD(P)H-quinone oxidoreductase subunit N [EC:7.1.1.2]
K05586,bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
K05587,bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
K05588,bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
K05597,glutamin-(asparagin-)ase [EC:3.5.1.38]
K05599,"anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]"
K05600,"anthranilate 1,2-dioxygenase (deaminating, decarboxylating) small subunit [EC:1.14.12.1]"
K05601,hydroxylamine reductase [EC:1.7.99.1]
K05602,histidinol-phosphatase [EC:3.1.3.15]
K05603,formimidoylglutamate deiminase [EC:3.5.3.13]
K05604,beta-Ala-His dipeptidase [EC:3.4.13.20]
K05605,3-hydroxyisobutyryl-CoA hydrolase [EC:3.1.2.4]
K05606,methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]
K05607,methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K05708,3-phenylpropionate/trans-cinnamate dioxygenase subunit alpha [EC:1.14.12.19]
K05709,3-phenylpropionate/trans-cinnamate dioxygenase subunit beta [EC:1.14.12.19]
K05710,3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin component
K05711,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87]"
K05712,3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127]
K05713,"2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16]"
K05714,"2-hydroxy-6-oxonona-2,4-dienedioate hydrolase [EC:3.7.1.14]"
K05715,2-phosphoglycerate kinase [EC:2.7.2.16]
K05774,"ribose 1,5-bisphosphokinase [EC:2.7.4.23]"
K05780,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]
K05783,dihydroxycyclohexadiene carboxylate dehydrogenase [EC:1.3.1.25 1.3.1.-]
K05784,"benzoate/toluate 1,2-dioxygenase reductase component [EC:1.18.1.-]"
K05797,4-cresol dehydrogenase (hydroxylating) flavoprotein subunit [EC:1.17.9.1]
K05810,purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase [EC:2.4.2.1 2.4.2.28 3.5.4.4]
K05821,aromatic amino acid aminotransferase II [EC:2.6.1.58 2.6.1.28]
K05822,tetrahydrodipicolinate N-acetyltransferase [EC:2.3.1.89]
K05823,N-acetyldiaminopimelate deacetylase [EC:3.5.1.47]
K05824,homoisocitrate dehydrogenase [EC:1.1.1.87]
K05825,2-aminoadipate transaminase [EC:2.6.1.-]
K05827,[lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase [EC:6.3.2.43]
K05828,[amino group carrier protein]-L-2-aminoadipate/L-glutamate 6-kinase [EC:2.7.2.17 2.7.2.19]
K05829,[amino group carrier protein]-6-phospho-L-2-aminoadipate/5-phospho-L-glutamate reductase [EC:1.2.1.103 1.2.1.106]
K05830,[amino-group carrier protein]-gamma-(L-lysyl/L-ornithyl)-L-glutamate aminotransferase [EC:2.6.1.118 2.6.1.124]
K05831,[amino group carrier protein]-lysine/ornithine hydrolase [EC:3.5.1.130 3.5.1.132]
K05848,phytoceramidase [EC:3.5.1.-]
K05851,"adenylate cyclase, class 1 [EC:4.6.1.1]"
K05857,"phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]"
K05858,"phosphatidylinositol phospholipase C, beta [EC:3.1.4.11]"
K05859,"phosphatidylinositol phospholipase C, gamma-2 [EC:3.1.4.11]"
K05860,"phosphatidylinositol phospholipase C, epsilon [EC:3.1.4.11]"
K05861,"phosphatidylinositol phospholipase C, zeta [EC:3.1.4.11]"
K05873,"adenylate cyclase, class 2 [EC:4.6.1.1]"
K05878,phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121]
K05879,phosphoenolpyruvate---glycerone phosphotransferase subunit DhaL [EC:2.7.1.121]
K05881,phosphoenolpyruvate---glycerone phosphotransferase subunit DhaM [EC:2.7.1.121]
K05884,L-2-hydroxycarboxylate dehydrogenase (NAD+) [EC:1.1.1.337]
K05887,quinate/shikimate dehydrogenase [EC:1.1.1.282]
K05889,polyvinyl alcohol dehydrogenase (cytochrome) [EC:1.1.2.6]
K05894,12-oxophytodienoic acid reductase [EC:1.3.1.42]
K05895,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106]
K05898,3-oxosteroid 1-dehydrogenase [EC:1.3.99.4]
K05901,biliverdin reductase / flavin reductase [EC:1.3.1.24 1.5.1.30]
K05906,prenylcysteine oxidase / farnesylcysteine lyase [EC:1.8.3.5 1.8.3.6]
K05907,adenylyl-sulfate reductase (glutathione) [EC:1.8.4.9]
K05908,thiosulfate dehydrogenase (quinone) [EC:1.8.5.2]
K05913,"2,4'-dihydroxyacetophenone dioxygenase [EC:1.13.11.41]"
K05915,(hydroxymethyl)phosphonate/2-amino-1-hydroxyethylphosphonate dioxygenase [EC:1.13.11.89 1.13.11.78]
K05917,sterol 14alpha-demethylase [EC:1.14.14.154 1.14.15.36]
K05921,"5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]"
K05925,mRNA m6A methyltransferase catalytic subunit [EC:2.1.1.348]
K05928,tocopherol O-methyltransferase [EC:2.1.1.95]
K05929,phosphoethanolamine N-methyltransferase [EC:2.1.1.103]
K05931,type I protein arginine methyltransferase [EC:2.1.1.319]
K05933,aminocyclopropanecarboxylate oxidase [EC:1.14.17.4]
K05934,precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]
K05936,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]
K05939,acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase / long-chain-fatty-acid--[acyl-carrier-protein] ligase [EC:2.3.1.40 6.2.1.20]
K05942,citrate (Re)-synthase [EC:2.3.3.3]
K05946,N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]
K05947,mannosyl-3-phosphoglycerate synthase [EC:2.4.1.217]
K05953,nicotianamine synthase [EC:2.5.1.43]
K05954,protein farnesyltransferase subunit beta [EC:2.5.1.58]
K05955,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.58 2.5.1.59]
K05957,L-glutamine:scyllo-inosose aminotransferase [EC:2.6.1.50]
K05961,deoxynucleoside kinase [EC:2.7.1.145]
K05964,holo-ACP synthase [EC:2.7.7.61]
K05966,triphosphoribosyl-dephospho-CoA synthase [EC:2.4.2.52]
K05973,poly(3-hydroxybutyrate) depolymerase [EC:3.1.1.75]
K05979,2-phosphosulfolactate phosphatase [EC:3.1.3.71]
K05988,dextranase [EC:3.2.1.11]
K05989,alpha-L-rhamnosidase [EC:3.2.1.40]
K05992,maltogenic alpha-amylase [EC:3.2.1.133]
K06001,tryptophan synthase beta chain [EC:4.2.1.20]
K06013,STE24 endopeptidase [EC:3.4.24.84]
K06015,N-acyl-D-amino-acid deacylase [EC:3.5.1.81]
K06016,beta-ureidopropionase / N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.6 3.5.1.87]
K06034,sulfopyruvate decarboxylase subunit alpha [EC:4.1.1.79]
K06035,cyanamide hydratase [EC:4.2.1.69]
K06041,arabinose-5-phosphate isomerase [EC:5.3.1.13]
K06042,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
K06044,(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15]
K06045,squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]
K06048,glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]
K06101,[histone H3]-lysine4 N-trimethyltransferase ASH1L [EC:2.1.1.354]
K06116,glycerol-1-phosphatase [EC:3.1.3.21]
K06117,glycerol-1-phosphatase [EC:3.1.3.21]
K06118,UDP-sulfoquinovose synthase [EC:3.13.1.1]
K06119,sulfoquinovosyltransferase [EC:2.4.1.-]
K06120,glycerol dehydratase large subunit [EC:4.2.1.30]
K06121,glycerol dehydratase medium subunit [EC:4.2.1.30]
K06122,glycerol dehydratase small subunit [EC:4.2.1.30]
K06123,1-acylglycerone phosphate reductase [EC:1.1.1.101]
K06124,phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75]
K06125,4-hydroxybenzoate polyprenyltransferase [EC:2.5.1.39]
K06126,ubiquinone biosynthesis monooxygenase Coq6 [EC:1.14.13.-]
K06127,"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.201]"
K06128,lysophospholipase I [EC:3.1.1.5]
K06129,lysophospholipase III [EC:3.1.1.5]
K06130,lysophospholipase II [EC:3.1.1.5]
K06131,cardiolipin synthase A/B [EC:2.7.8.-]
K06132,cardiolipin synthase C [EC:2.7.8.-]
K06133,4'-phosphopantetheinyl transferase [EC:2.7.8.-]
K06134,3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60]
K06151,gluconate 2-dehydrogenase alpha chain [EC:1.1.99.3]
K06152,gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]
K06153,undecaprenyl-diphosphatase [EC:3.6.1.27]
K06162,alpha-D-ribose 1-methylphosphonate 5-triphosphate diphosphatase [EC:3.6.1.63]
K06163,alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase [EC:4.7.1.1]
K06164,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI [EC:2.7.8.37]
K06165,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH [EC:2.7.8.37]
K06166,alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnG [EC:2.7.8.37]
K06167,"phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]"
K06168,tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3]
K06208,chorismate mutase [EC:5.4.99.5]
K06209,chorismate mutase [EC:5.4.99.5]
K06210,nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18]
K06211,"HTH-type transcriptional regulator, transcriptional repressor of NAD biosynthesis genes [EC:2.7.7.1 2.7.1.22]"
K06215,pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]
K06221,"2,5-diketo-D-gluconate reductase A [EC:1.1.1.346]"
K06281,hydrogenase large subunit [EC:1.12.99.6]
K06282,hydrogenase small subunit [EC:1.12.99.6]
K06287,nucleoside triphosphate pyrophosphatase [EC:3.6.1.-]
K06441,ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]
K06443,lycopene beta-cyclase [EC:5.5.1.19]
K06444,lycopene epsilon-cyclase [EC:5.5.1.18]
K06445,acyl-CoA dehydrogenase [EC:1.3.99.-]
K06446,acyl-CoA dehydrogenase [EC:1.3.99.-]
K06447,succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]
K06606,2-keto-myo-inositol isomerase [EC:5.3.99.11]
K06611,stachyose synthetase [EC:2.4.1.67]
K06617,raffinose synthase [EC:2.4.1.82]
K06718,"L-2,4-diaminobutyric acid acetyltransferase [EC:2.3.1.178]"
K06720,L-ectoine synthase [EC:4.2.1.108]
K06726,D-ribose pyranase [EC:5.4.99.62]
K06857,tungstate transport system ATP-binding protein [EC:7.3.2.6]
K06859,"glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]"
K06863,5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase [EC:6.3.4.23]
K06864,"pyridinium-3,5-biscarboxylic acid mononucleotide sulfurtransferase [EC:4.4.1.37]"
K06868,Sep-tRNA:Cys-tRNA synthetase [EC:2.5.1.73]
K06879,7-cyano-7-deazaguanine reductase [EC:1.7.1.13]
K06881,bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K06892,feruloyl-CoA 6-hydroxylase [EC:1.14.11.61]
K06896,maltose 6'-phosphate phosphatase [EC:3.1.3.90]
K06897,"7,8-dihydropterin-6-yl-methyl-4-(beta-D-ribofuranosyl)aminobenzene 5'-phosphate synthase [EC:2.5.1.105]"
K06898,"pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]"
K06900,cGAMP-activated phospholipase [EC:3.1.1.32 3.1.1.-]
K06912,"alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase [EC:1.14.11.-]"
K06914,tyramine---L-glutamate ligase [EC:6.3.4.24]
K06920,7-cyano-7-deazaguanine synthase [EC:6.3.4.20]
K06927,diphthine-ammonia ligase [EC:6.3.1.14]
K06928,nucleoside-triphosphatase [EC:3.6.1.15]
K06949,ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
K06952,5'-nucleotidase [EC:3.1.3.89]
K06966,pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]
K06970,23S rRNA (adenine1618-N6)-methyltransferase [EC:2.1.1.181]
K06981,isopentenyl phosphate kinase [EC:2.7.4.26]
K06982,pantoate kinase [EC:2.7.1.169]
K06984,beta-ribofuranosylaminobenzene 5'-phosphate synthase [EC:2.4.2.54]
