id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark
R04299,1 C03752 <=> 1 C05383,,,,,,,,,,
R04300,1 C00001 + 1 C00007 + 1 C03758 <=> 1 C00014 + 1 C00027 + 1 C04043,1.4.3.- 1.4.3.21 1.4.3.4 1.4.9.2,,K00274 K00276 K13371 K13372 K25271 K25272,rn00350 rn00950 rn01100 rn01110,RC00062__C03758_C04043 RC02755__C00007_C00027, 27949,,"4-(2-aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",,
R04301,1 C00019 + 1 C03758 <=> 1 C00021 + 1 C05587,2.1.1.6,,K00545,rn00350 rn00965 rn01100,RC00003__C00019_C00021 RC00392__C03758_C05587, 72258,,S-adenosyl-L-methionine:catechol O-methyltransferase,,
R04303,1 C00001 + 1 C00006 + 1 C03764 <=> 1 C00005 + 1 C00080 + 1 C04291,1.7.1.11,,,,RC00001__C00005_C00006 RC01122__C03764_C04291, 19792,,NADPH:4-(dimethylamino)phenylazoxybenzene oxidoreductase,,
R04304,1 C00003 + 1 C06044 <=> 1 C00004 + 1 C00080 + 1 C03765,1.1.1.90,,K00055,rn00350 rn01100,RC00001__C00003_C00004 RC00087__C03765_C06044,,,4-hydroxyphenylethanol:NAD+ oxidoreductase,,
R04305,1 C03758 + 1 C03765 <=> 1 C00001 + 1 C06160,3.5.99.14,M00943,K13382,rn00950 rn01100 rn01110,RC01071__C03758_C06160 RC01072__C03765_C06160, 16176,multi-step reaction,4-hydroxyphenylacetaldehyde hydro-lyase (adding dopamine),,
R04306,1 C04353 <=> 1 C00001 + 1 C03766,1.14.14.37,,K13029,,RC01076__C03766_C04353, 50731,"second step of three-step reaction (see R05728, R11442+R04306+R02708);subsequently R02708",,,
R04307,1 C00003 + 1 C04404 <=> 1 C00004 + 1 C00080 + 1 C03767,1.1.1.226,,K27673,rn00362 rn01120,RC00001__C00003_C00004 RC00144__C03767_C04404, 17432,,trans-4-hydroxycyclohexanecarboxylate:NAD+ 4-oxidoreductase,,
R04309,1 C00003 + 1 C04373 <=> 1 C00004 + 1 C00080 + 1 C03772,1.1.1.152 1.1.1.50,,K00037,rn00140,RC00001__C00003_C00004 RC00144__C03772_C04373, 10359,,3alpha-hydroxy-5beta-androstan-17-one:NAD+ oxidoreductase (B-specific),,
R04310,1 C00006 + 1 C04373 <=> 1 C00005 + 1 C00080 + 1 C03772,1.1.1.50,,K00037,rn00140,RC00001__C00005_C00006 RC00144__C03772_C04373,,,3alpha-hydroxy-5beta-androstan-17-one:NADP+ oxidoreductase (B-specific),,
R04311,1 C00339 + 1 C03372 <=> 1 C03129 + 1 C03715,2.5.1.26,,K00803,rn00565 rn01100,RC00020__C03129_C03372 RC02886__C03372_C03715, 36174,,1-acyl-glycerone-3-phosphate:long-chain-alcohol O-3-phospho-2-oxopropanyltransferase,,
R04312,1 C00013 + 1 C03788 <=> 1 C00009 + 1 C04391,2.7.99.1,,,,RC00017__C03788_C04391,,,pyrophosphate:microsomal-membrane-protein O-phosphotransferase,,
R04313,2 C00017 + 1 C03793 <=> 2 C00001 + 1 C05546,3.4.-.-,,,rn00310 rn01100,RC01227__C03793_C05546,,multi-step reaction,,,
R04314,1 C02743 + 1 C04250 <=> 1 C03800 + 1 C11475,2.1.1.63,,,,RC00035__C02743_C03800 RC03122__C04250_C11475, 24003,,DNA-6-O-methylguanine:protein-L-cysteine S-methyltransferase,,
R04315,1 C00001 + 1 C00343 + 1 C00677 <=> 1 C00342 + 1 C03802,1.17.4.2,,K00527,,RC00013__C00342_C00343 RC00613__C00677_C03802, 12704,"general reaction (see R02014, R02020, R02022 and R02023)",2'-deoxyribonucleoside triphosphate:oxydized-thioredoxin 2'-oxidoreductase,,
R04316,1 C00024 + 1 C03803 <=> 1 C00010 + 1 C04341,2.3.1.266 2.3.1.267,,,,RC00004__C00010_C00024 RC00064__C03803_C04341, 43755__43759,,acetyl-CoA:ribosomal-protein-L-alanine N-acetyltransferase,,
R04317,1 C00001 + 1 C04399 <=> 1 C00009 + 1 C03804,3.1.3.14,,,,RC00017__C03804_C04399, 16084,,S-methyl-3-phospho-1-thio-D-glycerate phosphohydrolase,,
R04318,1 C00001 + 1 C05551 <=> 1 C16672,3.5.2.6,,,,RC01499__C05551_C16672,,,penicillin-G hydrolase,,
R04319,1 C00006 + 1 C00658 <=> 1 C00005 + 1 C00080 + 1 C04512,1.3.1.34,,,,RC00001__C00005_C00006, 12139,,"trans-2,3-didehydroacyl-CoA:NADP+ 4-oxidoreductase",,
R04320,1 C00001 + 1 C00470 <=> 1 C00333 + 1 C00470,3.2.1.67,,,,RC00049__C00333_C00470, 14120,,"poly(1,4-alpha-D-galacturonide) galacturonohydrolase",,Same as: R06201
R04321,1 C00307 + 1 C03820 <=> 1 C00055 + 1 C04598,2.7.8.2,,K00994 K13644,rn00565 rn01100,RC00002__C00055_C00307 RC00017__C03820_C04598, 36186,,CDP-choline:1-alkyl-2-acetylglycerol cholinephosphotransferase,,
R04322,1 C00052 + 1 C03823 <=> 1 C00015 + 1 C04708,2.4.1.47,,K04628,,RC00005__C00015_C00052 RC00059__C03823_C04708, 10859,,UDP-alpha-D-galactose:2-(2-hydroxyacyl)sphingosine 1-beta-D-galactosyltransferase,,
R04323,1 C04409 <=> 1 C00011 + 1 C03824,4.1.1.45,M00038,K03392,rn00380 rn01100,RC00779__C03824_C04409, 16560,,2-amino-3-carboxymuconate semialdehyde carboxy-lyase,,
R04325,1 C00234 + 1 C03838 <=> 1 C00101 + 1 C04376,2.1.2.2,M00048,K00601 K01492 K11175 K11787,rn00230 rn00670 rn01100 rn01110,RC00026__C00101_C00234 RC00197__C03838_C04376, 15056,,10-formyltetrahydrofolate:5'-phosphoribosylglycinamide formyltransferase,,
R04326,1 C00001 + 1 C00445 + 1 C03838 <=> 1 C00101 + 1 C04376,2.1.2.2,,K00601 K01492 K11175 K11787,rn00670 rn01100,RC00197__C03838_C04376 RC01128__C00101_C00445, 31134,,,,
R04327,1 C00007 + 2 C03840 <=> 2 C04110,1.17.3.4,,,,RC01129__C03840_C04110, 18748,,"5-hydroxy-1,4-naphthoquinone,water:oxygen oxidoreductase (3-hydroxylating)",,
R04328,4 C00001 + 3 C00006 + 1 C00011 + 1 C01189 <=> 3 C00005 + 3 C00007 + 3 C00080 + 1 C05111,1.1.1.170 1.1.1.270 1.14.18.9,,,,RC00001__C00005_C00006 RC01867__C01189_C05111,,methylsterol demethylase 1.14.18.9 + 1.1.1.170 + 1.1.1.270;multi-step reaction,,,
R04330,1 C00003 + 1 C03852 <=> 1 C00004 + 1 C00080 + 1 C03917,1.1.1.239 1.1.1.357 1.1.1.53,M00977,K00089 K13369,rn00140 rn01100,RC00001__C00003_C00004 RC00144__C03852_C03917, 42007,,"androstan-3alpha,17beta-diol:NAD+ oxidoreductase",,
R04331,1 C00096 + 1 C04537 <=> 1 C00035 + 1 C04615,2.4.1.-,,,,RC00005__C00035_C00096 RC00049__C04537_C04615,,,GDPmannose:chitobiosyldiphosphodolichol alpha-D-mannosyltransferase,,
R04332,1 C00019 + 1 C03866 <=> 1 C00021 + 1 C04459,2.1.1.112,,,,RC00003__C00019_C00021 RC00466__C03866_C04459, 20416,,S-adenosyl-L-methionine:glucuronoxylan-D-glucuronate 4-O-methyltransferase,,
R04333,1 C00137 + 1 C04197 <=> 1 C00031 + 1 C03868,2.3.1.72,,,,RC00055__C00031_C04197, 21183,,indole-3-acetyl-beta-1-D-glucoside:myo-inositol indoleacetyltransferase,,
R04334,1 C00052 + 1 C03868 <=> 1 C00015 + 1 C04695,2.4.1.156,,,,RC00005__C00015_C00052 RC00049__C03868_C04695, 21151,,UDP-alpha-D-galactose:(indol-3-yl)acetyl-myo-inositol 5-O-D-galactosyltransferase,,
R04335,1 C00935 + 1 C03868 <=> 1 C00015 + 1 C04611,2.4.2.34,,,,RC00005__C00015_C00935 RC00049__C03868_C04611, 19508,,UDP-L-arabinose:indol-3-ylacetyl-myo-inositol L-arabinosyltransferase,,
R04336,1 C03871 <=> 1 C00001 + 1 C03972,,M00526,,rn00300 rn01100 rn01110 rn01230,RC01130__C03871_C03972, 24800,non-enzymatic,,,
R04338,1 C00026 + 1 C03900 <=> 1 C00025 + 1 C04264,2.6.1.75,,,,RC00006__C00025_C00026, 13488,,S-(4-bromophenyl)-L-cysteine:2-oxoglutarate aminotransferase,,
R04339,1 C00003 + 1 C03901 <=> 1 C00004 + 1 C00080 + 1 C04445,1.5.1.25,,,,RC00001__C00003_C00004 RC00135__C03901_C04445, 12507,,"thiomorpholine-3-carboxylate:NAD+ 5,6-oxidoreductase",,
R04340,1 C00006 + 1 C03901 <=> 1 C00005 + 1 C00080 + 1 C04445,1.5.1.25,,,,RC00001__C00005_C00006 RC00135__C03901_C04445, 12503,,"thiomorpholine-3-carboxylate:NADP+ 5,6-oxidoreductase",,
R04341,1 C00001 + 1 C03905 <=> 1 C00014 + 1 C03904,3.5.1.43,,,,RC00010__C03904_C03905, 10035,,alpha-N-peptidyl-L-glutamine amidohydrolase,,
R04342,1 C00007 + 1 C03024 + 1 C12208 <=> 1 C00001 + 1 C00852 + 1 C03161,1.14.14.96,,K09754,rn00940 rn00941 rn00945 rn01110,RC00046__C00852_C12208, 16268,,"trans-5-O-(4-coumaroyl)-D-quinate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (3'-hydroxylating)",,
R04343,1 C00470 + 1 C00617 <=> 1 C00015 + 1 C00470,2.4.1.43,,,,RC00005__C00015_C00617 RC00049__C00470_C00470, 13576,,"UDP-D-galacturonate:1,4-alpha-poly-D-galacturonate 4-alpha-D-galacturonosyltransferase",,Same as: R06072
R04344,1 C00006 + 1 C12525 <=> 1 C00005 + 1 C00080 + 1 C03917,1.1.1.210,,,,RC00001__C00005_C00006 RC00144__C03917_C12525, 16300,,3beta-hydroxysteroid:NADP+ oxidoreductase,,
R04345,1 C04625 <=> 1 C03918,5.5.1.11,,,,RC01108__C03918_C04625, 17440,,"2,4-dichloro-2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)",,
R04346,1 C00013 + 1 C04639 <=> 1 C00119 + 1 C00429,2.4.2.20,,,,RC01132__C00429_C04639, 10235,,"2,4-dioxotetrahydropyrimidine-nucleotide:pyrophosphate phospho-alpha-D-ribosyltransferase",,
R04347,2 C01330 + 1 C03576 + 1 C04488 <=> 1 C01217 + 2 C01330 + 1 C03920,7.2.1.4,M00357 M00567,K00577 K00578 K00579 K00580 K00581 K00582 K00583 K00584,rn00680 rn01100 rn01120 rn01200,RC00035__C03576_C03920 RC00113__C01217_C04488 RC02892__C03920_C04488,,,"5-methyl-5,6,7,8-tetrahydromethanopterin:2-mercaptoethanesulfonate 2-methyltransferas",,
R04348,1 C00024 + 1 C03922 <=> 1 C00010 + 1 C04504,2.3.1.81,,,,RC00004__C00010_C00024 RC00166__C03922_C04504, 12668,,acetyl-CoA:2-deoxystreptamine-antibiotic N3'-acetyltransferase,,
R04349,2 C00001 + 1 C04178 <=> 1 C00014 + 1 C03925,3.5.5.6,,K20806,rn00364 rn01120,RC00959__C03925_C04178, 22103,,"3,5-dibromo-4-hydroxybenzonitrile aminohydrolase",,
R04350,1 C00001 + 1 C04771 <=> 1 C00014 + 1 C00022 + 1 C03927,4.3.3.8,,,,RC01134__C03927_C04771, 75358,multi-step reaction (see R13116+R11099+R11100),(2S)-2-amino-3-[3-hydroxy-4-oxopyridin-1(4H)-yl]propanoate 3-hydroxy-4H-pyrid-4-one-lyase (2-aminoprop-2-enoate-forming),,
R04352,1 C00167 + 1 C04373 <=> 1 C00015 + 1 C11136,2.4.1.17,,K00699,rn00140,RC00005__C00015_C00167 RC00049__C04373_C11136,,,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),,
R04353,1 C00167 + 1 C05299 <=> 1 C00015 + 1 C11132,2.4.1.17,,K00699,rn00140,RC00005__C00015_C00167 RC00171__C05299_C11132,,,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),,
R04354,1 C00167 + 1 C05302 <=> 1 C00015 + 1 C11131,2.4.1.17,,K00699,rn00140,RC00005__C00015_C00167 RC00171__C05302_C11131,,,UDPglucuronate beta-D-glucuronosyltransferase(acceptor-unspecific),,
R04355,1 C01209 + 1 C03939 <=> 1 C00011 + 1 C00229 + 1 C05744,2.3.1.- 2.3.1.179 2.3.1.41 2.3.1.85 2.3.1.86,M00082 M00083,K00647 K00665 K00667 K09458 K11533,rn00061 rn01100 rn01212,RC00039__C00229_C03939 RC02729__C03939_C05744 RC02888__C01209_C05744,,,acyl-[acyl-carrier-protein]:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating),,
R04356,1 C00083 + 1 C03946 <=> 1 C00010 + 1 C04385,2.3.1.116,,,,RC00004__C00010_C00083 RC00041__C03946_C04385, 20088,,malonyl-CoA:flavonol-3-O-beta-D-glucoside malonyltransferase,,
R04358,1 C00002 + 1 C03959 <=> 1 C00008 + 1 C04395,2.7.11.23,,,,RC00002__C00002_C00008, 10219,,ATP:[DNA-directed RNA polymerase] phosphotransferase,,
R04359,1 C00029 + 1 C03963 <=> 1 C00015 + 1 C08886,2.4.1.193,,,,RC00005__C00015_C00029 RC00049__C03963_C08886, 14464,,UDPglucose:(25S)-5beta-spirostan-3beta-ol 3-O-beta-glucosyltransferase,,
R04360,1 C00006 + 1 C03968 <=> 1 C00005 + 1 C00080 + 1 C03715,1.1.1.101,,K06123,rn00565 rn01100,RC00001__C00005_C00006 RC00029__C03715_C03968, 36178,,,,
R04361,1 C00040 + 1 C03968 <=> 1 C00010 + 1 C05977,2.3.1.-,,,rn00565 rn01100,RC00004__C00010_C00040 RC00037__C03968_C05977, 36238,,acyl-CoA:1-alkyl-sn-glycero-3-phosphate 2-O-acyltransferase,,
R04362,1 C00001 + 1 C04476 <=> 1 C00189 + 1 C03968,3.1.4.39,,,,RC00017__C00189_C04476 RC00425__C03968_C04476, 15968,,1-alkyl-sn-glycero-3-phosphoethanolamine ethanolaminehydrolase,,
R04363,1 C00040 + 1 C03820 <=> 1 C00010 + 1 C04361,2.3.1.125,,,rn00565,RC00004__C00010_C00040 RC00041__C03820_C04361, 21999,,acyl-CoA:1-O-alkyl-2-acetyl-sn-glycerol O-acyltransferase,,
R04364,1 C00001 + 1 C00024 + 1 C03972 <=> 1 C00010 + 1 C05539,2.3.1.- 2.3.1.89,M00525,K05822 K19107,rn00261 rn00300 rn01100 rn01110 rn01230,RC00004__C00010_C00024 RC01136__C03972_C05539, 13088,,"acetyl-CoA:L-2,3,4,5-tetrahydrodipicolinate N2-acetyltransferase",,
R04365,1 C00001 + 1 C00091 + 1 C03972 <=> 1 C00010 + 1 C04462,2.3.1.117,M00016,K00674,rn00300 rn01100 rn01120 rn01230,RC00004__C00010_C00091 RC01136__C03972_C04462, 17328,,"succinyl-CoA:2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase",,
R04366,1 C00007 + 1 C03024 + 1 C03985 <=> 1 C00001 + 1 C03161 + 1 C04433,1.14.14.84,,,,RC01137__C03985_C04433, 32506,"the first step of two-step reaction (see R09925, R04366+R09924)","linalool,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (8-hydroxylating)",,
R04367,1 C03995 <=> 1 C02126 + 1 C04815,4.3.3.1,,,,RC00440__C02126_C03995 RC01138__C03995_C04815, 22771,,4-nitrophenyl-3-ketovalidamine 4-nitroaniline-lyase,,
R04368,1 C00001 + 1 C04696 <=> 1 C03998 + 1 C16669,3.6.1.59,,K12584,,RC00002__C03998_C04696, 65391,n = 1 to 10,m7G5'ppp5'X m7GMP phosphohydrolase,,
R04369,1 C00002 + 1 C00133 + 1 C03999 <=> 1 C00008 + 1 C00009 + 1 C04457,6.3.2.16,,,rn00470,RC00002__C00002_C00008 RC00064__C03999_C04457 RC00141__C00133_C04457,,,D-alanine:alanyl-poly(glycerolphosphate) ligase (ADP-forming),,
R04370,1 C00006 + 1 C04561 <=> 1 C00005 + 1 C00080 + 1 C04000,1.1.1.217,,,,RC00001__C00005_C00006 RC00525__C04000_C04561, 16408,,"benzyl-(2R,3S)-2-methyl-3-hydroxybutanoate:NADP+ 3-oxidoreductase",,
R04371,1 C05662 <=> 1 C00001 + 1 C04002,4.2.1.114 4.2.1.36,M00030 M00433 M00608,K01705 K16792 K16793,rn00300 rn01100 rn01110 rn01120 rn01210 rn01230,RC00618__C04002_C05662, 15488,"second step of two-step reaction (see R09720, R03444+R04371)",homoisocitrate hydro-lyase,,
R04372,1 C00001 + 1 C04063 <=> 1 C00009 + 1 C04006,3.1.3.66,M00131,K01109,rn00562 rn01100,RC00078__C04006_C04063,,,"D-myo-inositol-3,4-bisphosphate 4-phosphohydrolase",,
R04373,1 C00001 + 1 C04755 <=> 1 C00140 + 1 C04010,3.1.4.45,,,,RC00005__C04010_C04755 RC00078__C00140_C04755, 24375,,glycoprotein-N-acetyl-D-glucosaminyl-phospho-D-mannose N-acetyl-D-glucosaminylphosphohydrolase,,
R04374,1 C05147 <=> 1 C00001 + 1 C03564,4.2.1.77,,K18384 K22548,rn00330 rn01100,RC01139__C03564_C05147, 10323,"two-step reaction;2,3-Dehydroproline is an intermediate",trans-3-hydroxy-L-proline hydro-lyase (1-pyrroline-2-carboxylate-forming),,
R04375,1 C00003 + 1 C03826 <=> 1 C00004 + 1 C05406,1.1.1.-,,,,RC00001__C00003_C00004 RC00029__C03826_C05406,,,,,
R04376,1 C00007 + 1 C04044 <=> 1 C04479,1.13.11.16,,K05713,rn00360 rn01100 rn01120 rn01220,RC01140__C04044_C04479, 23843,,"3-(2,3-dihydroxyphenyl)propanoate:oxygen 1,2-oxidoreductase (decyclizing)",,
R04377,1 C00029 + 1 C04046 <=> 1 C00015 + 1 C06040,2.4.1.315,,K03429 K19004,rn00561 rn01100,RC00005__C00015_C00029 RC00059__C04046_C06040, 39034,,"UDP-alpha-D-glucose:1,2-diacyl-3-O-(beta-D-glucopyranosyl)-sn-glycerol 6-glucosyltransferase",,Same as: R12899
R04378,1 C00013 + 1 C04677 <=> 1 C00119 + 1 C04051,2.4.2.7,,K00759,rn00230 rn01100,RC00063__C04051_C04677, 31138,,1-(5'-phosphoribosyl)-5-amino-4-imidazolecarboxamide:pyrophosphate phosphoribosyltransferase,,
R04379,1 C04186 <=> 1 C04052,5.3.3.10,M00533,K01826,rn00350 rn01100 rn01120 rn01220,RC01141__C04052_C04186, 18816,,"5-carboxymethyl-2-hydroxymuconate delta2,delta4-2-oxo,delta3-isomerase",,
R04380,1 C04052 <=> 1 C00011 + 1 C05600,4.1.1.68,M00533,K05921,rn00350 rn01100 rn01120 rn01220,RC02669__C04052_C05600,,,"5-oxopent-3-ene-1,2,5-tricarboxylate carboxy-lyase",,
R04382,1 C06118 <=> 2 C04053,4.2.2.6,,K01730,rn00040 rn01100,RC02124__C04053_C06118 RC02427__C04053_C06118, 20272,,4-(4-deoxy-alpha-D-galact-4-enuronosyl)-D-galacturonate lyase,,Same as: R06249
R04383,1 C04053 <=> 1 C04349,5.3.1.17,,K01815,rn00040 rn01100,RC00541__C04053_C04349, 23899,,5-dehydro-4-deoxy-D-glucuronate ketol-isomerase,,
R04384,1 C00132 + 1 C06021 <=> 1 C00001 + 1 C06020,2.1.1.90,,K04480,,RC01144__C06020_C06021 RC01145__C00132_C06020, 45207,subsequently R10000;specific for methanol corrinoid protein [KO:K14081],methanol:[Co(I) corrinoid protein] Co-methyltransferase,,
R04385,1 C00002 + 1 C00288 + 1 C06250 <=> 1 C00008 + 1 C00009 + 1 C04419,6.3.4.14,,K01961 K11262 K11263,,RC00002__C00002_C00008 RC00253__C04419_C06250, 13504,The first step of two-step reaction (R00742);subsequently R04386,biotin-carboxyl-carrier-protein:carbon-dioxide ligase (ADP-forming),,
R04386,1 C00024 + 1 C04419 <=> 1 C00083 + 1 C06250,2.1.3.15,,K01962 K01963 K11262 K15036 K18472,,RC00040__C00024_C00083 RC00253__C04419_C06250, 54731,The second step of two-step reaction (R00742);following after R04385,carboxybiotin-carboxyl-carrier-protein:acetyl-CoA carboxytransferase,,
R04387,1 C00006 + 1 C04586 <=> 1 C00005 + 1 C00080 + 1 C04067,1.1.1.229,,,,RC00001__C00005_C00006 RC01146__C04067_C04586, 21011,,"diethyl-(2R,3R)-2-methyl-3-hydroxysuccinate:NADP+ 3-oxidoreductase",,
R04388,1 C00002 + 1 C04071 <=> 1 C00008 + 1 C04503,2.7.3.7,,,,RC00002__C00002_C00008 RC00203__C04071_C04503, 17556,,ATP:guanidinoethyyl-methyl-phosphate phosphotransferase,,
R04389,1 C04196 <=> 1 C04073,5.1.3.17,,K01793,,RC00509__C04073_C04196, 20200,,heparosan-N-sulfate-D-glucuronate glucurono-5-epimerase; poly[(1->4)-beta-D-glucuronosyl-(1->4)-N-sulfo-alpha-D-glucosaminyl] glucurono-5-epimerase,,
R04390,1 C00005 + 1 C00080 + 1 C05535 <=> 1 C00006 + 1 C04076 + 1 C11482,1.2.1.95,M00030,K00143,rn00300 rn01100 rn01110,RC00001__C00005_C00006 RC00039__C05535_C11482 RC00184__C04076_C05535,,"The last step of three step reaction  (R03098 + R04863 + R04390);For reverse direction, one-step reaction (see R03103)",L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase,,
R04391,1 C00002 + 1 C04079 <=> 1 C00008 + 1 C04352,2.7.1.33,,K00867 K01947 K03525 K09680,rn00770,RC00002__C00002_C00008 RC00017__C04079_C04352,,,ATP:pantothenate 4'-phosphotransferase,,
R04392,1 C00007 + 1 C00030 + 1 C04084 <=> 1 C00001 + 1 C00028 + 1 C04379,1.14.99.24,,,,RC01147__C04084_C04379, 19560,,"pregna-4,9(11)-diene-3,20-dione,hydrogen-donor:oxygen oxidoreductase (9-epoxidizing)",,
R04393,1 C00243 + 1 C04261 <=> 1 C00615 + 1 C05396,2.7.1.207,,K02786 K02788,rn00052 rn01100,RC00017__C00243_C05396 RC03206__C00615_C04261, 42403,,protein-N(pi)-phosphohistidine:lactose 6-phosphotransferase,,Same as: R06237
R04394,1 C01451 + 1 C04261 <=> 1 C00615 + 1 C06188,2.7.1.-,,K02753 K02777,rn00010,RC00017__C01451_C06188 RC03206__C00615_C04261,,,protein-N(pi)-phosphohistidine:salicin 6-phosphotransferase,,
R04396,1 C00019 + 1 C04099 <=> 1 C00021 + 1 C04725,2.1.1.18,,,,RC00003__C00019_C00021 RC02123__C04099_C04725,,,"S-adenosyl-L-methionine:1,4-alpha-D-glucan 6-O-methyltransferase",,
R04397,2 C00001 + 1 C04690 <=> 1 C00011 + 1 C00014 + 1 C00033 + 1 C04106,3.5.1.66,,,rn00750,RC00300__C00033_C04690 RC01148__C04106_C04690, 17680,,2-(hydroxymethyl)-3-(acetamidomethylene)succinate amidohydrolase,,
R04398,1 C00019 + 1 C04109 <=> 1 C00021 + 1 C04527,2.1.1.88,,,,RC00003__C00019_C00021 RC00392__C04109_C04527, 16596,,"S-adenosyl-L-methionine:3,3',4',5,7,8-hexahydroxyflavone 8-O-methyltransferase",,
R04399,1 C04115 <=> 1 C00001 + 1 C04324,4.2.1.-,,,,RC03118__C04115_C04324,,,,,
R04400,1 C00007 + 1 C03024 + 1 C04118 <=> 2 C00001 + 1 C03161 + 1 C03329,1.14.19.68,M00946,K13395,rn00950 rn01100 rn01110,RC00925__C03329_C04118, 21459,,"(S)-tetrahydrocolumbamine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (methylenedioxy-bridge-forming)",,
R04401,1 C00002 + 1 C04125 <=> 1 C00008 + 1 C04564,2.7.11.5,,,,RC00002__C00002_C00008 RC00017__C04125_C04564, 43543,,ATP:[isocitrate dehydrogenase (NADP+)] phosphotransferase,,
R04403,1 C00002 + 1 C04128 <=> 1 C00008 + 1 C04565,2.7.11.29,,,,RC00002__C00002_C00008 RC00017__C04128_C04565, 20332,,"ATP:2,3,2',3'-tetrakis(3-hydroxytetradecanoyl)-D-glucosaminyl-beta-D-1,6-glucosaminyl-beta-phosphate 4-O'-phosphotransferase",,
R04404,1 C00001 + 1 C04637 <=> 1 C00009 + 1 C01277,3.1.3.36,,K01099 K20278 K20279,rn00562 rn01100,RC00078__C01277_C04637, 22767,,"phosphatidyl-myo-inositol-4,5-bisphosphate 4-phosphohydrolase",,
R04405,1 C00155 + 1 C04489 <=> 1 C00073 + 1 C04144,2.1.1.14,M00017,K00549,rn00270 rn01100 rn01110 rn01230,RC00035__C00073_C00155 RC00113__C04144_C04489, 21199,,5-methyltetrahydropteroyltri-L-glutamate:L-homocysteine S-methyltransferase,,
R04409,1 C00132 + 1 C04164 <=> 1 C00031 + 1 C06358,2.3.1.152,,,,RC00055__C00031_C04164 RC00461__C00132_C06358,,,1-O-trans-cinnamoyl-beta-D-glucopyranose:alcohol O-cinnamoyltransferase,,
R04410,1 C00469 + 1 C04164 <=> 1 C00031 + 1 C06359,2.3.1.152,,,,RC00041__C00469_C06359 RC00055__C00031_C04164,,,1-O-trans-cinnamoyl-beta-D-glucopyranose:alcohol O-cinnamoyltransferase,,
R04411,1 C00069 + 1 C04164 <=> 1 C00031 + 1 C06357,2.3.1.152,,,,RC00055__C00031_C04164 RC00339__C00069_C06357, 23527,,1-O-trans-cinnamoyl-beta-D-glucopyranose:alcohol O-cinnamoyltransferase,,
R04412,1 C00003 + 1 C01760 <=> 1 C00004 + 1 C00080 + 1 C02533,1.1.1.221,,,,RC00001__C00003_C00004 RC01150__C01760_C02533, 22807,,vomifoliol:NAD+ oxidoreductase,,
R04413,1 C00040 + 1 C04635 <=> 1 C00010 + 1 C04756,2.3.1.121,,K13512,rn00565 rn01100,RC00004__C00010_C00040 RC00037__C04635_C04756, 16248,,acyl-CoA:1-alkenylglycerophosphoethanolamine O-acyltransferase,,
R04416,1 C04619 <=> 1 C00001 + 1 C04180,,,,,RC00785__C04180_C04619,,,(3R)-3-hydroxydecanoyl-[acyl-carrier protein] hydro-lyase,,
R04418,1 C00001 + 1 C00003 + 1 C04642 <=> 1 C00004 + 1 C00080 + 1 C04186,1.1.1.312 1.2.1.60,M00533,K00151 K10219,rn00350 rn01100 rn01120 rn01220,RC00001__C00003_C00004 RC00254__C04186_C04642, 15684,,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NAD+ oxidoreductase,,
R04419,1 C00001 + 1 C00006 + 1 C04642 <=> 1 C00005 + 1 C00080 + 1 C04186,1.1.1.312,,K10219,rn00350 rn01100 rn01120 rn01220,RC00001__C00005_C00006 RC00254__C04186_C04642,,,5-carboxymethyl-2-hydroxymuconic-semialdehyde:NADP+ oxidoreductase,,
R04420,1 C04188 <=> 1 C04582,5.3.1.23,M00034,K08963,rn00270 rn01100,RC01151__C04188_C04582, 19992,,5-methylthio-5-deoxy-D-ribose-1-phosphate ketol-isomerase,,
R04421,1 C00019 + 1 C04207 <=> 1 C00021 + 1 C04208,2.1.1.105,,,,RC00003__C00019_C00021 RC00392__C04207_C04208, 17408,,S-adenosyl-L-methionine:N-benzoyl-4-O-hydroxyanthranilate 4-O-methyltransferase,,
R04422,1 C00737 + 1 C04219 <=> 1 C00737 + 1 C04219,2.4.1.162,,,,RC00077__C00737_C04219,,,alpha-D-aldosyl-beta-D-fructoside:aldose 1-beta-D-fructosyltransferase,,
R04423,1 C00203 + 1 C04648 <=> 1 C00015 + 1 C06483,2.4.1.40,,,,RC00005__C00015_C00203 RC00049__C04648_C06483, 19024,,"UDP-N-acetyl-D-galactosamine:glycoprotein-alpha-L-fucosyl-(1,2)-D-galactose 3-N-acetyl-D-galactosaminyltransferase",,
