id,reaction,ec,module,orthology,pathway,rclass,rhea,comment,name,overall,remark,CBRdb_C_ids
R00367,1 C00019 + 1 C00037 <=> 1 C00021 + 1 C00213,2.1.1.156 2.1.1.162 2.1.1.20,M00035,K00552,rn00260 rn00270 rn00670 rn01100,RC00003__C00019_C00021 RC00060__C00037_C00213, 19940,"further methylation of sarcosine to N,N-dimethylglycine (ec 2.1.1.156, see R07243)",S-adenosyl-L-methionine:glycine N-methyltransferase,,,C00019 C00021 C00037 C00213
R00368,1 C00001 + 1 C00003 + 1 C03790 <=> 1 C00004 + 1 C00022 + 1 C00037 + 1 C00080,1.5.1.22,,,,RC00001__C00003_C00004 RC00217__C00037_C03790 RC00581__C00022_C03790, 14064,,N-(carboxymethyl)-D-alanine:NAD+ oxidoreductase (glycine-forming),,,C00001 C00003 C00004 C00022 C00037 C00080 C03790
R00369,1 C00022 + 1 C00037 <=> 1 C00041 + 1 C00048,2.6.1.44,,K00827 K00830 K14272,rn00250 rn01100 rn01210,RC00008__C00022_C00041 RC00018__C00037_C00048, 24251,,L-alanine:glyoxylate aminotransferase,,,C00022 C00037 C00041 C00048
R00371,1 C00010 + 1 C03508 <=> 1 C00024 + 1 C00037,2.3.1.29,,K00639,rn00260 rn01100,RC00004__C00010_C00024 RC00394__C00037_C03508, 20739,,acetyl-CoA:glycine C-acetyltransferase,,,C00010 C00024 C00037 C03508
R00372,1 C00025 + 1 C00048 <=> 1 C00026 + 1 C00037,2.6.1.4 2.6.1.44,M00532,K00827 K00830 K14272,rn00260 rn00630 rn01100 rn01110 rn01200,RC00006__C00025_C00026 RC00018__C00037_C00048, 14092,,glycine:2-oxoglutarate aminotransferase,,,C00025 C00026 C00037 C00048
R00373,1 C00036 + 1 C00037 <=> 1 C00048 + 1 C00049,2.6.1.35,,,,RC00006__C00036_C00049 RC00018__C00037_C00048, 17144,,glycine:oxaloacetate aminotransferase,,,C00036 C00037 C00048 C00049
R00374,1 C00011 + 2 C00030 + 1 C00080 + 1 C00177 <=> 2 C00028 + 1 C00037,1.4.99.5,,K10814 K10815 K10816,,RC02808__C00037_C00177,,,glycine:acceptor oxidoreductase (cyanide-forming),,,C00011 C00028 C00030 C00037 C00080 C00177
R00375,1 C00013 + 1 C00039 <=> 1 C00039 + 1 C00131,2.7.7.7,,,,RC02795__C00039_C00131,,,deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed),,,C00013 C00039 C00131
R00376,1 C00013 + 1 C00039 <=> 1 C00039 + 1 C00286,2.7.7.7,,,,RC02795__C00039_C00286,,,deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed),,,C00013 C00039 C00286
R00377,1 C00013 + 1 C00039 <=> 1 C00039 + 1 C00458,2.7.7.7,,,,RC02795__C00039_C00458,,,deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed),,,C00013 C00039 C00458
R00378,1 C00013 + 1 C00039 <=> 1 C00039 + 1 C00459,2.7.7.7,,,,RC02795__C00039_C00459,,,deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed),,,C00013 C00039 C00459
R00379,1 C00013 + n+1 C00039 <=> n C00039 + 1 C00677,2.7.7.31 2.7.7.49 2.7.7.7,,,,, 22511,DNA-directed (ec 2.7.7.7);RNA-directed (ec 2.7.7.49);non-template (ec 2.7.7.31),deoxynucleoside triphosphate:DNA deoxynucleotidyltransferase,,,C00013 C00039 C00677
R00380,1 C00019 + 1 C00039 <=> 1 C00021 + 1 C02967,2.1.1.37,,,,, 13684,see R04858,S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase,,,C00019 C00021 C00039 C02967
R00381,1 C00002 + n C00039 + m C02128 <=> 1 C00013 + 1 C00020 + n+m C00039,6.5.1.1 6.5.1.6 6.5.1.7,,K01971 K07468 K10747 K10776 K10777,,RC00005__C00039_C02128,,,(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming),,,C00002 C00013 C00020 C00039 C02128
R00382,1 C00003 + n C00039 + m C02128 <=> 1 C00020 + n+m C00039 + 1 C00455,6.5.1.2 6.5.1.6,,K01972 K10747,,RC00002__C00003_C00020 RC00005__C00039_C02128,,,"(deoxyribonucleotide)n:5'-phospho-(deoxyribonucleotide)m ligase (AMP-forming, NMN-forming)",,,C00003 C00020 C00039 C00455 C02128
R00383,1 C00001 + 1 C00040 <=> 1 C00010 + 1 C00060,3.1.2.18 3.1.2.19 3.1.2.20,,,,RC00004__C00010_C00040 RC00281__C00040_C00060, 16784,general reaction,acyl-CoA hydrolase,,,C00001 C00010 C00040 C00060
R00384,1 C00003 + 1 C00040 <=> 1 C00004 + 1 C00080 + 1 C00658,1.3.1.44,,,,RC00001__C00003_C00004, 18180,general reaction,acyl-CoA:NAD+ trans-2-oxidoreductase,,,C00003 C00004 C00040 C00080 C00658
R00385,1 C00005 + 1 C00080 + 1 C00605 <=> 1 C00006 + 1 C00040,1.3.1.8,,,rn00062,RC00001__C00005_C00006, 22463,general reaction,acyl-CoA:NADP+ 2-oxidoreductase,,,C00005 C00006 C00040 C00080 C00605
R00387,1 C00005 + 1 C00080 + 1 C01122 <=> 1 C00006 + 1 C00040,1.3.1.37,,,,RC00001__C00005_C00006,,general reaction,acyl-CoA:NADP+ cis-2-oxidoreductase,,,C00005 C00006 C00040 C00080 C01122
R00388,1 C00007 + 1 C00040 <=> 1 C00027 + 1 C00658,1.3.3.6,,,,RC02755__C00007_C00027, 38962,general reaction,acyl-CoA:oxygen 2-oxidoreductase,,,C00007 C00027 C00040 C00658
R00389,1 C00002 + 1 C00010 + 1 C21925 <=> 1 C00013 + 1 C00020 + 1 C21926,6.2.1.2,,K01896,,RC00004__C00010_C21926 RC00014__C21925_C21926, 48343,general reaction,medium-chain-fatty-acid:CoA ligase (AMP-forming),,,C00002 C00010 C00013 C00020 C21925 C21926
R00390,1 C00002 + 1 C00010 + 1 C00638 <=> 1 C00013 + 1 C00020 + 1 C98971,6.2.1.3,,K01897 K15013,rn00061,RC00004__C00010_C02843, 15424,general reaction,long-chain-fatty-acid:CoA ligase (AMP-forming),,,C00002 C00010 C00013 C00020 C00638 C98971
R00391,1 C00010 + 1 C00264 <=> 1 C00024 + 1 C00040,2.3.1.16,M00085,K07508 K07509,rn00062,RC00004__C00010_C00040 RC00326__C00024_C00264 RC02997__C00040_C00264, 21567,general reaction,acyl-CoA:acetyl-CoA C-acyltransferase,,,C00010 C00024 C00040 C00264
R00392,1 C00040 + 1 C04253 <=> 1 C00605 + 1 C04570,1.3.8.7 1.3.8.8,,,,, 14480__17724,general reaction,"acyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase",,,C00040 C00605 C04253 C04570
R00393,1 C00024 + 1 C02403 <=> 1 C00033 + 1 C00040,2.8.3.8,,,,RC00012__C00024_C00033 RC00281__C00040_C02403, 13384,,acyl-CoA:acetate CoA-transferase,,,C00024 C00033 C00040 C02403
R00394,1 C00009 + 1 C00035 + 1 C00040 <=> 1 C00010 + 1 C00044 + 1 C00060,6.2.1.10,,,,RC00002__C00035_C00044 RC00004__C00010_C00040 RC00281__C00040_C00060, 10971,,carboxylic acid:CoA ligase (GDP-forming),,,C00009 C00010 C00035 C00040 C00044 C00060
R00395,1 C00010 + 1 C02055 <=> 1 C00037 + 1 C00040,2.3.1.13,,,,RC00004__C00010_C00040 RC00096__C00037_C02055, 19872,general reaction,acyl-CoA:glycine N-acyltransferase,,,C00010 C00037 C00040 C02055
R00396,1 C00001 + 1 C00003 + 1 C00041 <=> 1 C00004 + 1 C00014 + 1 C00022 + 1 C00080,1.4.1.1,,K00259 K19244,rn00250 rn00430 rn01100,RC00001__C00003_C00004 RC00008__C00022_C00041, 18408,,L-alanine:NAD+ oxidoreductase (deaminating),,,C00001 C00003 C00004 C00014 C00022 C00041 C00080
R00397,1 C00011 + 1 C00041 <=> 1 C00049,4.1.1.12,,K09758,rn00250 rn01100 rn01230,RC00282__C00041_C00049, 12624,,L-aspartate 4-carboxy-lyase (L-alanine-forming),,,C00011 C00041 C00049
R00398,1 C00001 + 1 C00003 + 1 C03210 <=> 1 C00004 + 1 C00022 + 1 C00041 + 1 C00080,1.5.1.17,,,,RC00001__C00003_C00004 RC00283__C00041_C03210 RC00581__C00022_C03210, 17592,,"2,2'-iminodipropanoate:NAD+ oxidoreductase (L-alanine-forming)",,,C00001 C00003 C00004 C00022 C00041 C00080 C03210
R00399,1 C00010 + 1 C03341 <=> 1 C00024 + 1 C00133,2.3.1.263,,,,RC00004__C00010_C00024 RC00284__C00133_C03341, 51439,,2-amino-4-ketopentanoate thiolase; acetyl-CoA:D-alanine C-acyltransferase,,,C00010 C00024 C00133 C03341
R00400,1 C00022 + 1 C00049 <=> 1 C00036 + 1 C00041,2.6.1.12,,,rn00250 rn01100 rn01210,RC00006__C00036_C00049 RC00008__C00022_C00041, 77350,,L-alanine:oxaloacetate aminotransferase,,,C00022 C00036 C00041 C00049
R00401,1 C00041 <=> 1 C00133,5.1.1.1,,K01775 K01798,rn00470 rn01100,RC00285__C00041_C00133, 20252,,alanine racemase,,,C00041 C00133
R00402,1 C00003 + 1 C00042 <=> 1 C00004 + 1 C00080 + 1 C00122,1.3.1.6,M00173,K18556 K18557 K18558 K18559 K18560,rn00720 rn01100 rn01120 rn01200,RC00001__C00003_C00004 RC00045__C00042_C00122, 18284,,succinate:NAD+ oxidoreductase,,,C00003 C00004 C00042 C00080 C00122
R00405,1 C00002 + 1 C00010 + 1 C00042 <=> 1 C00008 + 1 C00009 + 1 C00091,6.2.1.5,M00009 M00011 M00173 M00374 M00620,K01902 K01903,rn00020 rn00640 rn00720 rn01100 rn01110 rn01120 rn01200,RC00002__C00002_C00008 RC00004__C00010_C00091 RC00014__C00042_C00091, 17664,,succinate:CoA ligase (ADP-forming),,,C00002 C00008 C00009 C00010 C00042 C00091
R00406,1 C00042 + 1 C04348 <=> 1 C00091 + 1 C00149,2.8.3.22,M00376,K14471 K14472,rn00720 rn01100 rn01120 rn01200,RC00014__C00042_C00091, 38258,,succinyl-CoA:(S)-malate CoA-transferase,,,C00042 C00091 C00149 C04348
R00407,1 C00001 + 1 C00091 <=> 1 C00010 + 1 C00042,3.1.2.3,,,,RC00004__C00010_C00091 RC00014__C00042_C00091, 11519,,succinyl-CoA hydrolase,,,C00001 C00010 C00042 C00091
R00408,1 C00016 + 1 C00042 <=> 1 C00122 + 1 C01352,,,,,RC00045__C00042_C00122 RC00126__C00016_C01352, 30346,,succinate:FAD oxidoreductase,,,C00016 C00042 C00122 C01352
R00409,1 C00022 + 1 C00042 <=> 1 C04593,4.1.3.30,M00982,K01637 K03417,rn00640 rn01100 rn01200,RC00286__C00022_C04593 RC00287__C00042_C04593, 16812,,"(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate pyruvate-lyase (succinate-forming)",,,C00022 C00042 C04593
R00410,1 C00042 + 1 C00332 <=> 1 C00091 + 1 C00164,2.8.3.5,,K01027 K01028 K01029,rn00280 rn00650 rn01100,RC00014__C00042_C00091, 25483,,succinyl-CoA:acetoacetate CoA-transferase,,,C00042 C00091 C00164 C00332
R00411,1 C00001 + 1 C05931 <=> 1 C00025 + 1 C00042,3.5.1.96,M00879,K05526,rn00330 rn01100,RC00064__C00025_C05931 RC00090__C00042_C05931, 15172,,N-succinyl-L-glutamate amidohydrolase,,,C00001 C00025 C00042 C05931
R00412,1 C00028 + 1 C00042 <=> 1 C00030 + 1 C00122,1.3.99.-,,,,RC00045__C00042_C00122, 16360,,succinate:acceptor oxidoreductase,,,C00028 C00030 C00042 C00122
R00414,1 C00001 + 1 C00043 <=> 1 C00015 + 1 C00645,3.2.1.183 5.1.3.14,M00922,K08068 K12409 K24257,rn00520 rn00541 rn01100 rn01250,RC00005__C00015_C00043 RC00288__C00043_C00645, 30686,possibly intermediate (2-acetamido-D-glucal),UDP-N-acetyl-D-glucosamine 2-epimerase,,,C00001 C00015 C00043 C00645
R00416,1 C00013 + 1 C00043 <=> 1 C00075 + 1 C04501,2.7.7.23,M00892 M00909,K00972 K04042 K11528,rn00520 rn00541 rn01100 rn01250,RC00002__C00043_C04501, 13512,,UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase,,,C00013 C00043 C00075 C04501
R00417,1 C00015 + 1 C04375 <=> 1 C00043 + 1 C03021,2.4.1.94,,,,RC00005__C00015_C00043 RC00482__C03021_C04375, 16536,,UDP-N-acetyl-D-glucosamine:protein beta-N-acetyl-D-glucosaminyltransferase,,,C00015 C00043 C03021 C04375
R00418,1 C00043 <=> 1 C00203,5.1.3.2 5.1.3.7,,K02473,rn00520 rn00541 rn01100 rn01250,RC00289__C00043_C00203, 20520,,UDP-N-acetyl-D-glucosamine 4-epimerase,,,C00043 C00203
R00420,1 C00043 <=> 1 C01170,5.1.3.14,,K01791,rn00520 rn00541 rn01100 rn01250,RC00290__C00043_C01170, 17216,possibly intermediate (2-acetamido-D-glucal),UDP-N-acetyl-D-glucosamine 2-epimerase,,,C00043 C01170
R00421,1 C00001 + 2 C00003 + 1 C00043 <=> 2 C00004 + 2 C00080 + 1 C04573,1.1.1.136,,K02474 K13015 K22926,rn00520 rn00541 rn01100 rn01250,RC00001__C00003_C00004 RC00291__C00043_C04573, 13328,,UDP-N-acetyl-D-glucosamine:NAD+ 6-oxidoreductase,,,C00001 C00003 C00004 C00043 C00080 C04573
R00422,1 C00043 <=> 1 C05005,,,,,,,,,,,C00043 C05005
R00423,1 C00043 <=> 1 C05114,,,,,,,"incomplete reaction;general reaction (see R05327, map00533 and map00534 )",,,,C00043 C05114
R00424,1 C00001 + 1 C00044 <=> 1 C00058 + 1 C04895,3.5.4.16,,K01495 K09007 K22391,rn01240,RC00292__C00044_C04895 RC02504__C00044_C00058, 17476,four-step reaction (see R00428+R05046+R05048+R04639),"GTP 7,8-8,9-dihydrolase",,,C00001 C00044 C00058 C04895
R00425,2 C00009 + 1 C00058 + 1 C01304 <=> 4 C00001 + 1 C00044,3.5.4.25,M00125 M00840 M00911,K01497 K14652,rn00740 rn00790 rn01100 rn01110 rn01240,RC00293__C00044_C01304 RC02504__C00044_C00058, 23707,multi-step reaction,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)",,,C00001 C00009 C00044 C00058 C01304
R00426,1 C00001 + 1 C00044 <=> 1 C00013 + 1 C00144,3.6.1.9,,K01513 K04765,rn00230 rn01100 rn01232,RC00002__C00044_C00144, 29394,,GTP diphosphohydrolase (diphosphate-forming); guanosine 5'-triphosphate pyrophosphohydrolase,,,C00001 C00013 C00044 C00144
R00428,1 C00001 + 1 C00044 <=> 1 C05922,3.5.4.16,M00126 M00841 M00842 M00843,K01495 K09007 K22391,rn00790 rn01100,RC00294__C00044_C05922,,"the first step of four-step reaction (see R00424, R00428+R05046+R05048+R04639);subsequently R05046","GTP 8,9-hydrolase",,,C00001 C00044 C05922
R00429,1 C00002 + 1 C00044 <=> 1 C00020 + 1 C04494,2.7.6.5,,K00951 K01139 K07816,rn00230 rn01100,RC00002__C00002_C00020 RC00078__C00044_C04494, 22091,,ATP:GTP 3'-diphosphotransferase,,,C00002 C00020 C00044 C04494
R00430,1 C00022 + 1 C00044 <=> 1 C00035 + 1 C00074,2.7.1.40,,K00873 K12406,,RC00002__C00035_C00044 RC00015__C00022_C00074, 30298,,GTP:pyruvate 2-O-phosphotransferase,,,C00022 C00035 C00044 C00074
R00431,1 C00011 + 1 C00035 + 1 C00074 <=> 1 C00036 + 1 C00044,4.1.1.32,M00003,K01596,rn00010 rn00020 rn00620 rn01100 rn01110 rn01120,RC00002__C00035_C00044 RC02741__C00036_C00074, 10391,,GTP:oxaloacetate carboxy-lyase (adding GTP;phosphoenolpyruvate-forming); GTP:oxaloacetate carboxy-lyase (transphosphorylating),,,C00011 C00035 C00036 C00044 C00074
R00432,1 C00009 + 1 C00035 + 1 C00091 <=> 1 C00010 + 1 C00042 + 1 C00044,6.2.1.4,M00009 M00011,K01899 K01900,rn00020 rn00640 rn01100 rn01110 rn01200,RC00002__C00035_C00044 RC00004__C00010_C00091 RC00014__C00042_C00091, 22123,,succinate:CoA ligase (GDP-forming),,,C00009 C00010 C00035 C00042 C00044 C00091
R00434,1 C00013 + 1 C00942 <=> 1 C00044,4.6.1.1 4.6.1.2,,K01768 K01769 K05851 K05873 K08041 K08042 K08043 K08044 K08045 K08046 K08047 K08048 K08049 K11029 K11265 K12318 K12319 K12320 K12321 K12322 K12323 K12324 K22600,rn00230 rn01100,RC00295__C00044_C00942, 13668,,"GTP diphosphate-lyase (cyclizing; 3',5'-cyclic-GMP-forming)",,,C00013 C00044 C00942
R00435,1 C00002 + 1 C00046 <=> 1 C00013 + 1 C00046,2.7.7.19 2.7.7.48 2.7.7.6,,,,RC02795__C00002_C00046, 11335,DNA-directed (ec 2.7.7.6);RNA-directed (ec 2.7.7.48);non-template (ec 2.7.7.19),ATP:polynucleotide adenylyltransferase; ATP:RNA adenylyltransferase,,,C00002 C00013 C00046
R00436,1 C00002 + 1 C00046 <=> 1 C00013 + 1 C00020 + 1 C02073,6.5.1.3,,,,RC00296__C00046_C02073,,,"polyribonucleotide ligase (cyclizing, AMP-forming)",,,C00002 C00013 C00020 C00046 C02073
R00437,1 C00008 + 1 C00046 <=> 1 C00009 + 1 C00046,2.7.7.8,,,,RC02795__C00008_C00046,,,polyribonucleotide:phosphate adenylyltransferase,,,C00008 C00009 C00046
R00438,1 C00009 + 1 C00046 <=> 1 C00015 + 1 C00046,2.7.7.8,,,,RC02795__C00015_C00046,,,polyribonucleotide:phosphate uridylyltransferase,,,C00009 C00015 C00046
R00439,1 C00009 + 1 C00046 <=> 1 C00035 + 1 C00046,2.7.7.8,,,,RC02795__C00035_C00046,,,polyribonucleotide:phosphate guanylyltransferase,,,C00009 C00035 C00046
R00440,1 C00009 + 1 C00046 <=> 1 C00046 + 1 C00112,2.7.7.8,,,,RC02795__C00046_C00112,,,polyribonucleotide:phosphate cytidylyltransferase,,,C00009 C00046 C00112
R00441,1 C00013 + 1 C00046 <=> 1 C00044 + 1 C00046,2.7.7.48 2.7.7.6,,,,RC02795__C00044_C00046,,DNA-directed (ec 2.7.7.6);RNA-directed (ec 2.7.7.48),GTP:RNA guanylyltransferase (DNA-directed); GTP:RNA guanylyltransferase (RNA-directed),,,C00013 C00044 C00046
R00442,1 C00013 + 1 C00046 <=> 1 C00046 + 1 C00063,2.7.7.48 2.7.7.6,,,,RC02795__C00046_C00063,,DNA-directed (ec 2.7.7.6);RNA-directed (ec 2.7.7.48),CTP:RNA cytidylyltransferase (DNA-directed); CTP:RNA cytidylyltransferase (RNA-directed),,,C00013 C00046 C00063
R00443,1 C00013 + 1 C00046 <=> 1 C00046 + 1 C00075,2.7.7.48 2.7.7.52 2.7.7.6,,,,RC02795__C00046_C00075, 14788,DNA-directed (ec 2.7.7.6);RNA-directed (ec 2.7.7.48);non-template (ec 2.7.7.52),UTP:RNA uridylyltransferase,,,C00013 C00046 C00075
R00444,1 C00013 + 1 C00046 <=> 1 C00046 + 1 C00201,2.7.7.48 2.7.7.6,,,,, 21251,DNA-directed (ec 2.7.7.6);RNA-directed (ec 2.7.7.48),nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed); nucleoside-triphosphate:RNA nucleotidyltransferase (RNA-directed),,,C00013 C00046 C00201
R00445,1 C00003 + 1 C00047 <=> 1 C00004 + 1 C00014 + 1 C00080 + 1 C04092,1.4.1.15,,,,RC00001__C00003_C00004 RC00297__C00047_C04092, 18508,,"L-lysine:NAD+ oxidoreductase (deaminating, cyclizing)",,,C00003 C00004 C00014 C00047 C00080 C04092
R00446,1 C00001 + 1 C00003 + 1 C00047 <=> 1 C00004 + 1 C00014 + 1 C00080 + 1 C04076,1.4.1.18,,K19064,rn00960 rn01100,RC00001__C00003_C00004 RC00062__C00047_C04076, 25120,"first step of two-step reaction (see R10054, R00446+R02317)",L-lysine:NAD+ 6-oxidoreductase (deaminating),,,C00001 C00003 C00004 C00014 C00047 C00080 C04076
R00447,1 C00001 + 1 C00007 + 1 C00047 <=> 1 C00014 + 1 C00027 + 1 C03239,1.4.3.14,,,rn00310 rn00960 rn01100,RC00006__C00047_C03239 RC02755__C00007_C00027, 14440,,L-lysine:oxygen 2-oxidoreductase (deaminating),,,C00001 C00007 C00014 C00027 C00047 C03239
R00448,1 C00001 + 1 C00006 + 1 C01028 <=> 1 C00005 + 1 C00007 + 1 C00047 + 1 C00080,1.14.13.59,M00918,K03897,rn00997 rn01100 rn01110 rn01120,RC00001__C00005_C00006 RC00298__C00047_C01028, 23231,,"L-lysine,NADPH:oxygen oxidoreductase (6-hydroxylating)",,,C00001 C00005 C00006 C00007 C00047 C00080 C01028
R00449,1 C00001 + 1 C00011 + 1 C00990 <=> 1 C00007 + 1 C00047,1.13.12.2,M00957,K00468,rn00310 rn01100 rn01120,RC00213__C00047_C00990, 14604,,L-lysine:oxygen 2-oxidoreductase (decarboxylating),,,C00001 C00007 C00011 C00047 C00990
R00451,1 C00011 + 1 C00047 <=> 1 C00680,4.1.1.20,M00016 M00525 M00526 M00527,K01586 K12526,rn00300 rn00470 rn01100 rn01110 rn01120 rn01230,RC00299__C00047_C00680, 15104,,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)",,,C00011 C00047 C00680
R00452,1 C00001 + 1 C00006 + 1 C04020 <=> 1 C00005 + 1 C00022 + 1 C00047 + 1 C00080,1.5.1.16,,,rn00310,RC00001__C00005_C00006 RC00283__C00047_C04020 RC00581__C00022_C04020, 17628,,N2-(D-1-carboxylethyl)-L-lysine:NADP+ oxidoreductase (L-lysine-forming),,,C00001 C00005 C00006 C00022 C00047 C00080 C04020
R00453,1 C00022 + 1 C00047 <=> 1 C00041 + 1 C04076,2.6.1.71,,,,RC00008__C00022_C00041 RC00062__C00047_C04076, 19396,,L-lysine:pyruvate aminotransferase,,,C00022 C00041 C00047 C04076
R00454,1 C00010 + 1 C02727 <=> 1 C00024 + 1 C00047,2.3.1.306,,K18854,rn00310 rn01100,RC00004__C00010_C00024 RC00096__C00047_C02727, 69479,,acetyl-CoA:L-lysine N6-acetyltransferase,,,C00010 C00024 C00047 C02727
R00457,1 C00025 + 1 C04076 <=> 1 C00026 + 1 C00047,2.6.1.36,,K03918,,RC00006__C00025_C00026 RC00062__C00047_C04076, 21203,,L-lysine:2-oxoglutarate 6-aminotransferase,,,C00025 C00026 C00047 C04076
R00458,1 C00001 + 1 C02727 <=> 1 C00033 + 1 C00047,3.5.1.17,,,rn00310 rn01100,RC00096__C00047_C02727 RC00300__C00033_C02727,,,N6-acetyl-L-lysine amidohydrolase,,,C00001 C00033 C00047 C02727
R00459,1 C00047 <=> 1 C00408,,,,,RC00301__C00047_C00408,,four-step reaction (see R00715+R02313+R02317+R08414),,,,C00047 C00408
R00460,1 C00047 <=> 1 C00739,5.1.1.10 5.1.1.5,M00960,K25316 K25317,rn00310 rn00470 rn01100 rn01120,RC00302__C00047_C00739, 22867,,lysine racemase,,,C00047 C00739
R00461,1 C00047 <=> 1 C01142,5.4.3.2,,K01843,rn00310 rn01100,RC00303__C00047_C01142, 19180,radical intermediate,"L-lysine 2,3-aminomutase",,,C00047 C01142
R00462,1 C00011 + 1 C01672 <=> 1 C00047,4.1.1.18,M00956,K01582,rn00310 rn00960 rn01100 rn01110 rn01120,RC00299__C00047_C01672, 22355,,L-lysine carboxy-lyase (cadaverine-forming),,,C00011 C00047 C01672
R00463,1 C00001 + 1 C02837 <=> 1 C00047,3.5.2.11,,,,RC00304__C00047_C02837, 21391,,"L-lysine-1,6-lactam lactamhydrolase",,,C00001 C00047 C02837
R00465,1 C00005 + 1 C00048 + 1 C00080 <=> 1 C00006 + 1 C98943,1.1.1.79,,K00049 K00090 K12972 K15919 K18121,rn00630 rn01100 rn01120,RC00001__C00005_C00006 RC00042__C00048_C00160, 10995,,glycolate:NADP+ oxidoreductase,,,C00005 C00006 C00048 C00080 C98943
R00466,1 C00001 + 1 C00007 + 1 C00048 <=> 1 C00027 + 1 C00209,1.2.3.5,,,rn00630 rn01100,RC00305__C00048_C00209 RC02755__C00007_C00027, 14840,,glyoxylate:oxygen oxidoreductase,,,C00001 C00007 C00027 C00048 C00209
R00468,1 C00005 + 1 C00080 + 1 C00313 <=> 1 C00006 + 1 C00010 + 1 C00048,1.2.1.17,,,rn00630 rn01100,RC00001__C00005_C00006 RC00004__C00010_C00313 RC00306__C00048_C00313, 21027,,glyoxylate:NADP+ oxidoreductase (CoA-oxalylating),,,C00005 C00006 C00010 C00048 C00080 C00313
R00469,1 C00001 + 1 C00603 <=> 1 C00011 + 2 C00014 + 1 C00048,3.5.1.116,,K18151,rn00230 rn01100 rn01120,RC00153__C00048_C00603 RC02805__C00011_C00603, 19812,,(S)-ureidoglycolate amidohydrolase (decarboxylating),,,C00001 C00011 C00014 C00048 C00603
R00470,1 C00022 + 1 C00048 <=> 1 C01127,4.1.3.16 4.1.3.42,,K01625 K18123,rn00630 rn01100,RC00307__C00022_C01127 RC00308__C00048_C01127, 18172,,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),,,C00022 C00048 C01127
R00471,1 C00022 + 1 C00048 <=> 1 C05946,4.1.3.16,,K18123,rn00330 rn01100,RC00307__C00022_C05946 RC00308__C00048_C05946, 30690,,4-hydroxy-2-oxoglutarate glyoxylate-lyase (pyruvate-forming),,,C00022 C00048 C05946
R00472,1 C00001 + 1 C00024 + 1 C00048 <=> 1 C00010 + 1 C00149,2.3.3.9,M00012,K01638,rn00620 rn00630 rn01100 rn01110 rn01120 rn01200,RC00004__C00010_C00024 RC00308__C00048_C00149 RC02747__C00024_C00149, 18184,,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming); L-malate glyoxylate-lyase (CoA-acetylating)",,,C00001 C00010 C00024 C00048 C00149
R00473,1 C00024 + 1 C00048 <=> 1 C04348,4.1.3.24,M00012 M00346 M00373 M00376 M00740,K08691 K19282,rn00630 rn00680 rn00720 rn01100 rn01120 rn01200,RC00307__C00024_C04348 RC00308__C00048_C04348, 16632,,L-malyl-CoA glyoxylate-lyase (acetyl-CoA-forming),,,C00024 C00048 C04348
R00474,1 C00011 + 1 C03217 <=> 1 C00026 + 1 C00048,2.2.1.5,,K01616,rn00630,RC00309__C00048_C03217, 14344,,2-oxoglutarate:glyoxylate succinaldehydetransferase (decarboxylating); 2-hydroxy-3-oxoadipate glyoxylate-lyase (carboxylating),,,C00011 C00026 C00048 C03217
R00475,1 C00007 + 1 C98943 <=> 1 C00027 + 1 C00048,1.1.3.15,M00532,K00104 K11472 K11473 K11517,rn00630 rn01100 rn01110 rn01120 rn01200,RC00042__C00048_C00160 RC02755__C00007_C00027, 25314,,glycolate:oxygen 2-oxidoreductase,,,C00007 C00027 C00048 C98943
R00476,1 C00028 + 1 C98943 <=> 1 C00030 + 1 C00048,1.1.99.14,,K00104 K11472 K11473,rn00630 rn01100 rn01120,RC00042__C00048_C00160, 21267,,glycolate:acceptor 2-oxidoreductase,,,C00028 C00030 C00048 C98943
R00477,1 C00036 + 1 C00048 <=> 1 C01990,4.1.3.13,,,rn00630,RC00310__C00036_C01990 RC00311__C00048_C01990, 22035,,3-oxalomalate glyoxylate-lyase (oxaloacetate-forming),,,C00036 C00048 C01990
R00478,1 C00037 + 1 C00048 <=> 1 C03961,4.1.3.14,,,,RC00311__C00048_C03961 RC00312__C00037_C03961, 14380,,erythro-3-hydroxy-Ls-aspartate glyoxylate-lyase (glycine-forming),,,C00037 C00048 C03961
